Created as New Dataset,25-1-251
s,A
0.00,0.4538
0.05,0.4538
0.10,0.4537
0.15,0.4537
0.20,0.4537
0.25,0.4537
0.30,0.4537
0.35,0.4537
0.40,0.4536
0.45,0.4536
0.50,0.4536
0.55,0.4536
0.60,0.4535
0.65,0.4535
0.70,0.4535
0.75,0.4535
0.80,0.4534
0.85,0.4534
0.90,0.4534
0.95,0.4534
1.00,0.4533
1.05,0.4533
1.10,0.4533
1.15,0.4533
1.20,0.4532
1.25,0.4532
1.30,0.4532
1.35,0.4531
1.40,0.4531
1.45,0.4531
1.50,0.4530
1.55,0.4530
1.60,0.4530
1.65,0.4529
1.70,0.4529
1.75,0.4529
1.80,0.4529
1.85,0.4528
1.90,0.4528
1.95,0.4527
2.00,0.4527
2.05,0.4527
2.10,0.4526
2.15,0.4526
2.20,0.4525
2.25,0.4420
2.30,0.4289
2.35,0.3990
2.40,0.3991
2.45,0.3991
2.50,0.3992
2.55,0.4063
2.60,0.4155
2.65,0.4235
2.70,0.4413
2.75,0.4686
2.80,0.4920
2.85,0.4920
2.90,0.4921
2.95,0.4922
3.00,0.4923
3.05,0.4923
3.10,0.4924
3.15,0.4926
3.20,0.4927
3.25,0.4928
3.30,0.4929
3.35,0.4930
3.40,0.4931
3.45,0.4932
3.50,0.4933
3.55,0.4934
3.60,0.4934
3.65,0.4935
3.70,0.4937
3.75,0.4937
3.80,0.4938
3.85,0.4939
3.90,0.4940
3.95,0.4940
4.00,0.4941
4.05,0.4942
4.10,0.4943
4.15,0.4944
4.20,0.4944
4.25,0.4946
4.30,0.4946
4.35,0.4947
4.40,0.4947
4.45,0.4949
4.50,0.4949
4.55,0.4950
4.60,0.4950
4.65,0.4951
4.70,0.4952
4.75,0.4953
4.80,0.4953
4.85,0.4954
4.90,0.4954
4.95,0.4955
5.00,0.4956
