Created as New Dataset,30-1rerun2
s,A
0.00,0.4961
0.05,0.4961
0.10,0.4961
0.15,0.4961
0.20,0.4960
0.25,0.4960
0.30,0.4876
0.35,0.4876
0.40,0.4877
0.45,0.4877
0.50,0.4878
0.55,0.4878
0.60,0.4879
0.65,0.4879
0.70,0.4879
0.75,0.4880
0.80,0.4880
0.85,0.4881
0.90,0.4881
0.95,0.4881
1.00,0.4882
1.05,0.4882
1.10,0.4883
1.15,0.4883
1.20,0.4883
1.25,0.4884
1.30,0.4884
1.35,0.4884
1.40,0.4885
1.45,0.4885
1.50,0.4886
1.55,0.4886
1.60,0.4886
1.65,0.4886
1.70,0.4621
1.75,0.4470
1.80,0.4348
1.85,0.4348
1.90,0.4348
1.95,0.4348
2.00,0.4348
2.05,0.4348
2.10,0.4450
2.15,0.4716
2.20,0.4853
2.25,0.4854
2.30,0.4855
2.35,0.4856
2.40,0.4857
2.45,0.4858
2.50,0.4859
2.55,0.4860
2.60,0.4862
2.65,0.4863
2.70,0.4863
2.75,0.4864
2.80,0.4865
2.85,0.4867
2.90,0.4867
2.95,0.4868
3.00,0.4869
3.05,0.4870
3.10,0.4871
3.15,0.4872
3.20,0.4873
3.25,0.4874
3.30,0.4874
3.35,0.4876
3.40,0.4877
3.45,0.4877
3.50,0.4878
3.55,0.4879
3.60,0.4880
3.65,0.4881
3.70,0.4881
3.75,0.4882
3.80,0.4883
3.85,0.4884
3.90,0.4885
3.95,0.4885
4.00,0.4887
4.05,0.4887
4.10,0.4888
4.15,0.4889
4.20,0.4890
4.25,0.4890
4.30,0.4891
4.35,0.4892
4.40,0.4892
4.45,0.4893
4.50,0.4894
4.55,0.4894
4.60,0.4895
4.65,0.4896
4.70,0.4897
4.75,0.4897
4.80,0.4898
4.85,0.4899
4.90,0.4899
4.95,0.4900
5.00,0.4900
