Created as New Dataset,325-1rerun
s,A
0,0.4822
0.05,0.4822
0.1,0.4822
0.15,0.4822
0.2,0.4822
0.25,0.4822
0.3,0.4822
0.35,0.4822
0.4,0.4822
0.45,0.4822
0.5,0.4822
0.55,0.4822
0.6,0.4822
0.65,0.4822
0.7,0.4822
0.75,0.4822
0.8,0.4822
0.85,0.4822
0.9,0.4823
0.95,0.4823
1,0.4823
1.05,0.4823
1.1,0.4823
1.15,0.4823
1.2,0.4824
1.25,0.4824
1.3,0.4824
1.35,0.4824
1.4,0.4824
1.45,0.4824
1.5,0.4825
1.55,0.4825
1.6,0.4825
1.65,0.4825
1.7,0.4825
1.75,0.4826
1.8,0.4826
1.85,0.4752
1.9,0.4635
1.95,0.4466
2,0.4465
2.05,0.4465
2.1,0.4465
2.15,0.4465
2.2,0.4465
2.25,0.4465
2.3,0.476
2.35,0.4961
2.4,0.5
2.45,0.503
2.5,0.503
2.55,0.503
2.6,0.503
2.65,0.503
2.7,0.503
2.75,0.503
2.8,0.503
2.85,0.503
2.9,0.503
2.95,0.503
3,0.503
3.05,0.503
3.1,0.503
3.15,0.503
3.2,0.503
3.25,0.5031
3.3,0.5031
3.35,0.5031
3.4,0.5031
3.45,0.5031
3.5,0.5031
3.55,0.5031
3.6,0.5031
3.65,0.5032
3.7,0.5032
3.75,0.5032
3.8,0.5032
3.85,0.5032
3.9,0.5033
3.95,0.5033
4,0.5033
4.05,0.5033
4.1,0.5034
4.15,0.5034
4.2,0.5034
4.25,0.5034
4.3,0.5034
4.35,0.5035
4.4,0.5035
4.45,0.5035
4.5,0.5035
4.55,0.5036
4.6,0.5036
4.65,0.5036
4.7,0.5036
4.75,0.5036
4.8,0.5037
4.85,0.5037
4.9,0.5037
4.95,0.5037
5,0.5037
