Created as New Dataset,325-rerun
s,A
0.00,0.5140
0.05,0.5141
0.10,0.5141
0.15,0.5142
0.20,0.5142
0.25,0.5143
0.30,0.5144
0.35,0.5144
0.40,0.5145
0.45,0.5145
0.50,0.5146
0.55,0.5148
0.60,0.5148
0.65,0.5149
0.70,0.5149
0.75,0.5150
0.80,0.5151
0.85,0.5151
0.90,0.5152
0.95,0.5153
1.00,0.5154
1.05,0.5154
1.10,0.5155
1.15,0.5155
1.20,0.5156
1.25,0.5157
1.30,0.5158
1.35,0.5158
1.40,0.5159
1.45,0.5159
1.50,0.5160
1.55,0.5161
1.60,0.5161
1.65,0.5162
1.70,0.5162
1.75,0.5163
1.80,0.5163
1.85,0.5164
1.90,0.5164
1.95,0.5164
2.00,0.4894
2.05,0.4705
2.10,0.4705
2.15,0.4631
2.20,0.4631
2.25,0.4631
2.30,0.4631
2.35,0.4631
2.40,0.4844
2.45,0.5032
2.50,0.5032
2.55,0.5034
2.60,0.5035
2.65,0.5036
2.70,0.5037
2.75,0.5039
2.80,0.5040
2.85,0.5041
2.90,0.5041
2.95,0.5043
3.00,0.5044
3.05,0.5045
3.10,0.5046
3.15,0.5048
3.20,0.5048
3.25,0.5049
3.30,0.5050
3.35,0.5052
3.40,0.5052
3.45,0.5053
3.50,0.5054
3.55,0.5055
3.60,0.5056
3.65,0.5057
3.70,0.5058
3.75,0.5059
3.80,0.5060
3.85,0.5061
3.90,0.5061
3.95,0.5063
4.00,0.5063
4.05,0.5064
4.10,0.5065
4.15,0.5065
4.20,0.5067
4.25,0.5067
4.30,0.5068
4.35,0.5068
4.40,0.5069
4.45,0.5070
4.50,0.5071
4.55,0.5071
4.60,0.5072
4.65,0.5073
4.70,0.5074
4.75,0.5074
4.80,0.5075
4.85,0.5075
4.90,0.5076
4.95,0.5076
5.00,0.5077
