Created as New Dataset,351-rerun4
s,A
0.00,0.4808
0.05,0.4808
0.10,0.4808
0.15,0.4808
0.20,0.4808
0.25,0.4807
0.30,0.4807
0.35,0.4807
0.40,0.4737
0.45,0.4737
0.50,0.4738
0.55,0.4738
0.60,0.4739
0.65,0.4739
0.70,0.4740
0.75,0.4740
0.80,0.4741
0.85,0.4741
0.90,0.4742
0.95,0.4742
1.00,0.4743
1.05,0.4743
1.10,0.4744
1.15,0.4744
1.20,0.4744
1.25,0.4745
1.30,0.4745
1.35,0.4745
1.40,0.4746
1.45,0.4746
1.50,0.4747
1.55,0.4747
1.60,0.4748
1.65,0.4748
1.70,0.4748
1.75,0.4749
1.80,0.4749
1.85,0.4749
1.90,0.4750
1.95,0.4750
2.00,0.4750
2.05,0.4751
2.10,0.4751
2.15,0.4751
2.20,0.4751
2.25,0.4752
2.30,0.4752
2.35,0.4752
2.40,0.4753
2.45,0.4753
2.50,0.4753
2.55,0.4753
2.60,0.4667
2.65,0.4548
2.70,0.4425
2.75,0.4425
2.80,0.4425
2.85,0.4425
2.90,0.4425
2.95,0.4425
3.00,0.4426
3.05,0.4618
3.10,0.4752
3.15,0.4752
3.20,0.4753
3.25,0.4754
3.30,0.4754
3.35,0.4755
3.40,0.4756
3.45,0.4756
3.50,0.4757
3.55,0.4757
3.60,0.4758
3.65,0.4758
3.70,0.4759
3.75,0.4760
3.80,0.4760
3.85,0.4760
3.90,0.4761
3.95,0.4762
4.00,0.4762
4.05,0.4762
4.10,0.4763
4.15,0.4764
4.20,0.4764
4.25,0.4764
4.30,0.4765
4.35,0.4765
4.40,0.4766
4.45,0.4766
4.50,0.4767
4.55,0.4767
4.60,0.4767
4.65,0.4768
4.70,0.4769
4.75,0.4769
4.80,0.4769
4.85,0.4770
4.90,0.4770
4.95,0.4771
5.00,0.4771
