Created as New Dataset,25-4-251
s,A
0.00,0.5039
0.05,0.5039
0.10,0.5039
0.15,0.5039
0.20,0.5038
0.25,0.5038
0.30,0.5038
0.35,0.5038
0.40,0.5038
0.45,0.5038
0.50,0.5038
0.55,0.5038
0.60,0.5038
0.65,0.5037
0.70,0.5037
0.75,0.5037
0.80,0.5037
0.85,0.5037
0.90,0.5037
0.95,0.5037
1.00,0.5037
1.05,0.5037
1.10,0.5037
1.15,0.5037
1.20,0.5037
1.25,0.5037
1.30,0.5037
1.35,0.5037
1.40,0.5037
1.45,0.5037
1.50,0.5037
1.55,0.5037
1.60,0.5037
1.65,0.5037
1.70,0.5037
1.75,0.5037
1.80,0.5036
1.85,0.5036
1.90,0.4867
1.95,0.4625
2.00,0.4444
2.05,0.4370
2.10,0.4369
2.15,0.4368
2.20,0.4367
2.25,0.4367
2.30,0.4367
2.35,0.4775
2.40,0.4983
2.45,0.5081
2.50,0.5082
2.55,0.5162
2.60,0.5162
2.65,0.5162
2.70,0.5163
2.75,0.5163
2.80,0.5163
2.85,0.5163
2.90,0.5163
2.95,0.5163
3.00,0.5164
3.05,0.5164
3.10,0.5164
3.15,0.5164
3.20,0.5164
3.25,0.5164
3.30,0.5165
3.35,0.5165
3.40,0.5165
3.45,0.5165
3.50,0.5165
3.55,0.5165
3.60,0.5166
3.65,0.5166
3.70,0.5166
3.75,0.5166
3.80,0.5166
3.85,0.5166
3.90,0.5166
3.95,0.5167
4.00,0.5167
4.05,0.5167
4.10,0.5167
4.15,0.5238
4.20,0.5237
4.25,0.5236
4.30,0.5236
4.35,0.5235
4.40,0.5235
4.45,0.5234
4.50,0.5233
4.55,0.5233
4.60,0.5232
4.65,0.5232
4.70,0.5231
4.75,0.5230
4.80,0.5229
4.85,0.5229
4.90,0.5228
4.95,0.5228
5.00,0.5227
