Created as New Dataset,275-5rerun2
s,A
0.00,0.5101
0.05,0.5100
0.10,0.5100
0.15,0.5099
0.20,0.5099
0.25,0.5099
0.30,0.5098
0.35,0.5098
0.40,0.5097
0.45,0.5097
0.50,0.5097
0.55,0.5097
0.60,0.5096
0.65,0.5096
0.70,0.5096
0.75,0.5095
0.80,0.5095
0.85,0.5095
0.90,0.5095
0.95,0.5094
1.00,0.5094
1.05,0.5094
1.10,0.5094
1.15,0.5093
1.20,0.5093
1.25,0.5093
1.30,0.5093
1.35,0.5093
1.40,0.5092
1.45,0.5092
1.50,0.5092
1.55,0.5091
1.60,0.5091
1.65,0.5091
1.70,0.5091
1.75,0.5091
1.80,0.5090
1.85,0.5090
1.90,0.5090
1.95,0.5090
2.00,0.5090
2.05,0.5090
2.10,0.5089
2.15,0.5089
2.20,0.5089
2.25,0.5089
2.30,0.5089
2.35,0.5088
2.40,0.5088
2.45,0.5015
2.50,0.4868
2.55,0.4448
2.60,0.4447
2.65,0.4369
2.70,0.4368
2.75,0.4368
2.80,0.4367
2.85,0.4367
2.90,0.4538
2.95,0.4813
3.00,0.4958
3.05,0.4959
3.10,0.5041
3.15,0.5041
3.20,0.5041
3.25,0.5041
3.30,0.5041
3.35,0.5041
3.40,0.5041
3.45,0.5041
3.50,0.5041
3.55,0.5041
3.60,0.5041
3.65,0.5041
3.70,0.5041
3.75,0.5042
3.80,0.5042
3.85,0.5042
3.90,0.5042
3.95,0.5042
4.00,0.5042
4.05,0.5042
4.10,0.5042
4.15,0.5042
4.20,0.5042
4.25,0.5042
4.30,0.5042
4.35,0.5042
4.40,0.5042
4.45,0.5042
4.50,0.5042
4.55,0.5042
4.60,0.5041
4.65,0.5041
4.70,0.5041
4.75,0.5041
4.80,0.5041
4.85,0.5041
4.90,0.5040
4.95,0.5040
5.00,0.5040
