Created as New Dataset,325-5rerun
s,A
0,0.4949
0.05,0.4949
0.1,0.4949
0.15,0.4949
0.2,0.4949
0.25,0.4949
0.3,0.5017
0.35,0.5017
0.4,0.5016
0.45,0.5015
0.5,0.5014
0.55,0.5014
0.6,0.5013
0.65,0.5012
0.7,0.5012
0.75,0.501
0.8,0.501
0.85,0.5009
0.9,0.5009
0.95,0.5007
1,0.5007
1.05,0.5006
1.1,0.5005
1.15,0.5005
1.2,0.5004
1.25,0.5003
1.3,0.5002
1.35,0.5002
1.4,0.5001
1.45,0.5001
1.5,0.4999
1.55,0.4999
1.6,0.4998
1.65,0.4998
1.7,0.4997
1.75,0.4996
1.8,0.4995
1.85,0.4995
1.9,0.4994
1.95,0.4994
2,0.4992
2.05,0.4891
2.1,0.4804
2.15,0.466
2.2,0.4659
2.25,0.4658
2.3,0.4657
2.35,0.4657
2.4,0.4657
2.45,0.4657
2.5,0.4803
2.55,0.4959
2.6,0.5
2.65,0.503
2.7,0.503
2.75,0.503
2.8,0.503
2.85,0.5029
2.9,0.5029
2.95,0.5029
3,0.5029
3.05,0.5029
3.1,0.5029
3.15,0.5029
3.2,0.5029
3.25,0.5029
3.3,0.5029
3.35,0.5028
3.4,0.5028
3.45,0.5028
3.5,0.5028
3.55,0.5028
3.6,0.5028
3.65,0.5028
3.7,0.5027
3.75,0.5027
3.8,0.5027
3.85,0.5027
3.9,0.5027
3.95,0.5027
4,0.5027
4.05,0.5026
4.1,0.5026
4.15,0.5026
4.2,0.5026
4.25,0.5026
4.3,0.5026
4.35,0.5026
4.4,0.5025
4.45,0.5025
4.5,0.5025
4.55,0.5025
4.6,0.5025
4.65,0.5025
4.7,0.5024
4.75,0.5024
4.8,0.5024
4.85,0.5024
4.9,0.5024
4.95,0.5023
5,0.5023
