Created as New Dataset,351-3
s,A
0.00,0.4824
0.05,0.4825
0.10,0.4825
0.15,0.4826
0.20,0.4827
0.25,0.4827
0.30,0.4828
0.35,0.4829
0.40,0.4830
0.45,0.4830
0.50,0.4831
0.55,0.4833
0.60,0.4833
0.65,0.4834
0.70,0.4835
0.75,0.4836
0.80,0.4837
0.85,0.4837
0.90,0.4838
0.95,0.4839
1.00,0.4840
1.05,0.4840
1.10,0.4841
1.15,0.4911
1.20,0.4911
1.25,0.4911
1.30,0.4911
1.35,0.4910
1.40,0.4910
1.45,0.4910
1.50,0.4910
1.55,0.4909
1.60,0.4909
1.65,0.4633
1.70,0.4474
1.75,0.4474
1.80,0.4474
1.85,0.4473
1.90,0.4472
1.95,0.4472
2.00,0.4397
2.05,0.4616
2.10,0.4774
2.15,0.4774
2.20,0.4775
2.25,0.4775
2.30,0.4776
2.35,0.4776
2.40,0.4777
2.45,0.4777
2.50,0.4778
2.55,0.4778
2.60,0.4779
2.65,0.4779
2.70,0.4780
2.75,0.4780
2.80,0.4781
2.85,0.4781
2.90,0.4782
2.95,0.4782
3.00,0.4783
3.05,0.4783
3.10,0.4783
3.15,0.4784
3.20,0.4784
3.25,0.4785
3.30,0.4785
3.35,0.4785
3.40,0.4786
3.45,0.4786
3.50,0.4787
3.55,0.4787
3.60,0.4787
3.65,0.4788
3.70,0.4788
3.75,0.4788
3.80,0.4788
3.85,0.4789
3.90,0.4789
3.95,0.4790
4.00,0.4790
4.05,0.4790
4.10,0.4790
4.15,0.4791
4.20,0.4791
4.25,0.4791
4.30,0.4791
4.35,0.4791
4.40,0.4792
4.45,0.4792
4.50,0.4792
4.55,0.4792
4.60,0.4792
4.65,0.4793
4.70,0.4793
4.75,0.4793
4.80,0.4793
4.85,0.4793
4.90,0.4793
4.95,0.4793
5.00,0.4793
