Created as New Dataset,351-rerun8
s,A
0.00,0.4838
0.05,0.4838
0.10,0.4838
0.15,0.4838
0.20,0.4838
0.25,0.4839
0.30,0.4839
0.35,0.4839
0.40,0.4839
0.45,0.4839
0.50,0.4839
0.55,0.4840
0.60,0.4840
0.65,0.4840
0.70,0.4840
0.75,0.4840
0.80,0.4840
0.85,0.4840
0.90,0.4840
0.95,0.4841
1.00,0.4841
1.05,0.4841
1.10,0.4841
1.15,0.4841
1.20,0.4841
1.25,0.4841
1.30,0.4841
1.35,0.4841
1.40,0.4841
1.45,0.4841
1.50,0.4841
1.55,0.4841
1.60,0.4841
1.65,0.4841
1.70,0.4842
1.75,0.4842
1.80,0.4842
1.85,0.4842
1.90,0.4842
1.95,0.4842
2.00,0.4842
2.05,0.4842
2.10,0.4842
2.15,0.4842
2.20,0.4842
2.25,0.4842
2.30,0.4842
2.35,0.4842
2.40,0.4842
2.45,0.4842
2.50,0.4842
2.55,0.4842
2.60,0.4842
2.65,0.4842
2.70,0.4842
2.75,0.4842
2.80,0.4842
2.85,0.4842
2.90,0.4842
2.95,0.4842
3.00,0.4842
3.05,0.4842
3.10,0.4842
3.15,0.4842
3.20,0.4768
3.25,0.4568
3.30,0.4471
3.35,0.4471
3.40,0.4471
3.45,0.4470
3.50,0.4470
3.55,0.4469
3.60,0.4470
3.65,0.4656
3.70,0.4751
3.75,0.4751
3.80,0.4751
3.85,0.4752
3.90,0.4752
3.95,0.4753
4.00,0.4753
4.05,0.4753
4.10,0.4754
4.15,0.4754
4.20,0.4755
4.25,0.4755
4.30,0.4756
4.35,0.4756
4.40,0.4756
4.45,0.4756
4.50,0.4757
4.55,0.4757
4.60,0.4758
4.65,0.4758
4.70,0.4758
4.75,0.4759
4.80,0.4759
4.85,0.4759
4.90,0.4760
4.95,0.4760
5.00,0.4761
