Created as New Dataset,
s,A
0.00,0.5693
0.05,0.5693
0.10,0.5693
0.15,0.5692
0.20,0.5692
0.25,0.5692
0.30,0.5691
0.35,0.5690
0.40,0.5690
0.45,0.5689
0.50,0.5688
0.55,0.5687
0.60,0.5687
0.65,0.5686
0.70,0.5685
0.75,0.5684
0.80,0.5684
0.85,0.5683
0.90,0.5682
0.95,0.5682
1.00,0.5681
1.05,0.5681
1.10,0.5680
1.15,0.5679
1.20,0.5679
1.25,0.5678
1.30,0.5678
1.35,0.5677
1.40,0.5677
1.45,0.5676
1.50,0.5676
1.55,0.5675
1.60,0.5675
1.65,0.5675
1.70,0.5674
1.75,0.5674
1.80,0.5674
1.85,0.5674
1.90,0.5594
1.95,0.5593
2.00,0.5461
2.05,0.5378
2.10,0.5377
2.15,0.5377
2.20,0.5377
2.25,0.5377
2.30,0.5506
2.35,0.5589
2.40,0.5687
2.45,0.5800
2.50,0.5877
2.55,0.5877
2.60,0.5877
2.65,0.5877
2.70,0.5878
2.75,0.5878
2.80,0.5878
2.85,0.5879
2.90,0.5879
2.95,0.5880
3.00,0.5880
3.05,0.5881
3.10,0.5882
3.15,0.5883
3.20,0.5952
3.25,0.5952
3.30,0.5952
3.35,0.5952
3.40,0.5952
3.45,0.5952
3.50,0.5952
3.55,0.5952
3.60,0.5952
3.65,0.5952
3.70,0.5952
3.75,0.5952
3.80,0.5953
3.85,0.5953
3.90,0.5953
3.95,0.5953
4.00,0.5953
4.05,0.5954
4.10,0.5954
4.15,0.5954
4.20,0.5954
4.25,0.5955
4.30,0.5955
4.35,0.5955
4.40,0.5956
4.45,0.5956
4.50,0.5956
4.55,0.5957
4.60,0.5957
4.65,0.5957
4.70,0.5958
4.75,0.5958
4.80,0.5958
4.85,0.5959
4.90,0.5959
4.95,0.5960
5.00,0.5960
